numberOfThreads;serialExecutionTime(ns);serialExecutionTime;parallelExecutionTime(ns);parallelExecutionTime;accelerationCoefficient;efficiencyCoefficient
1;217527070;.0s 217ms;220396450;.0s 220ms;0.9869808247818874;0.9869808247818874
2;433004771;.0s 433ms;231911514;.0s 231ms;1.867112001174724;0.933556000587362
4;860800287;.0s 860ms;303269135;.0s 303ms;2.83840387186121;0.7096009679653025
8;1702242454;.1s 702ms;414296047;.0s 414ms;4.108758619171667;0.5135948273964583
16;3434166536;.3s 434ms;852741826;.0s 852ms;4.027205458079641;0.2517003411299776
32;6970905455;.6s 970ms;2109214214;.2s 109ms;3.3049774692064537;0.10328054591270168
64;14119008414;.14s 119ms;4157073373;.4s 157ms;3.3963818165208024;0.05306846588313754
128;28620914115;.28s 620ms;9194700713;.9s 194ms;3.112761905837141;0.024318452389352666
