numberOfThreads;serialExecutionTime(ns);serialExecutionTime;parallelExecutionTime(ns);parallelExecutionTime;accelerationCoefficient;efficiencyCoefficient
1;59518718;0s 59ms;58691598;0s 58ms;1.0140926474688932;1.0140926474688932
2;108323462;0s 108ms;61301746;0s 61ms;1.7670534539097793;0.8835267269548897
4;221271240;0s 221ms;75411094;0s 75ms;2.9342001058889293;0.7335500264722323
8;441732055;0s 441ms;91226831;0s 91ms;4.842128682514468;0.6052660853143085
16;948931644;0s 948ms;200021289;0s 200ms;4.744153228609581;0.2965095767880988
32;1853231459;1s 853ms;400187088;0s 400ms;4.630912677022703;0.14471602115695947
64;3763016666;3s 763ms;1070433205;1s 70ms;3.51541473902615;0.05492835529728359
128;8156422043;8s 156ms;2562013121;2s 562ms;3.1835988567523033;0.02487186606837737
