numberOfThreads;serialExecutionTime(ns);serialExecutionTime;parallelExecutionTime(ns);parallelExecutionTime;accelerationCoefficient;efficiencyCoefficient
1;8820160;.0s 8ms;3778445;.0s 3ms;2.334335950371118;2.334335950371118
2;11839248;.0s 11ms;8563471;.0s 8ms;1.3825291169900615;0.6912645584950308
4;22362714;.0s 22ms;11294580;.0s 11ms;1.9799509145094372;0.4949877286273593
8;42865481;.0s 42ms;16366399;.0s 16ms;2.6191149928582336;0.3273893741072792
16;89607345;.0s 89ms;30262967;.0s 30ms;2.960957033723759;0.18505981460773493
32;210102533;.0s 210ms;57854906;.0s 57ms;3.63154220663672;0.1134856939573975
64;379050756;.0s 379ms;970241961;.0s 970ms;0.39067652321419233;0.006104320675221755
128;5906258239;.5s 906ms;532157344;.0s 532ms;11.098706624257355;0.08670864550201059
