numberOfThreads;serialExecutionTime(ns);serialExecutionTime;parallelExecutionTime(ns);parallelExecutionTime;accelerationCoefficient;efficiencyCoefficient
1;26453114;.0s 26ms;27060103;.0s 27ms;0.9775688584777376;0.9775688584777376
2;53021481;.0s 53ms;57724205;.0s 57ms;0.9185311603685143;0.45926558018425717
4;108307683;.0s 108ms;114465481;.0s 114ms;0.9462038865673399;0.23655097164183497
8;215028967;.0s 215ms;219282738;.0s 219ms;0.9806014324757292;0.12257517905946615
16;427000166;.0s 427ms;404614689;.0s 404ms;1.055325418499574;0.06595783865622337
32;853769430;.0s 853ms;801830367;.0s 801ms;1.0647756247924693;0.03327423827476467
64;1712116929;.1s 712ms;1603051683;.1s 603ms;1.0680360135338194;0.016688062711465928
128;3457972741;.3s 457ms;3209740777;.3s 209ms;1.077337075248803;0.008416695900381273
